"id","Rank1","Rank2","Rank3","Rank4","Rank5","Budget","cor","sub","cor_avg","Per_Rank1","Per_Rank5","Rel_Per","RPS","IR","RPS.rank","IR.rank","class"
"30c5c41c",0.11828307155,0.13911313855,0.1249429148,0.12812267205,0.11435820305,0.62482,-0.310870106953365,"avg",-0.294980233585784,0.189307435021286,0.18302583632086,-0.00628159870042572,0.17063,-22.01308,112,157,"Opposite Connection"
"31bb28c9",0.0671961144,0.0627766615,0.0634250446,0.0678175381,0.0699246414,0.39802,0.546520203979918,"avg",0.410334735349905,0.168825974574142,0.175681225566554,0.00685525099241244,0.15976,-2.00365,31,84,"Weakly Connected"
"32cdcc24",0.2,0.2,0.2,0.2,0.2,1,NA,"avg",NA,0.2,0.2,0,0.16,0.45347,51,55,"NA"
"34cf2f3f",0.2,0.2,0.2,0.2,0.2,1,NA,"avg",NA,0.2,0.2,0,0.16,0.45347,51,55,"NA"
"3653df28",0.2,0.2,0.2,0.2,0.2,1,NA,"avg",NA,0.2,0.2,0,0.16,0.45347,51,55,"NA"
"380c6343",0.198292141666667,0.192979679166667,0.1821259875,0.202703470833333,0.223898720833333,1,0.625153978308212,"avg",0.41649807499178,0.198292141666667,0.223898720833333,0.0256065791666667,0.1632,-4.03737,89,97,"Weakly Connected"
"3862cc83",0.14321489706,0.16623292252,0.26121020766,0.22633387393,0.20300809883,1,0.605245571014885,"avg",0.537752987414789,0.14321489706,0.20300809883,0.05979320177,0.16325,-9.20403,90,128,"Connected"
"38c7fc7b",0.0670524169083333,0.0246707284916667,0.0220212806583333,0.024481131525,0.0746236090833333,0.479245833333333,0.0910560435865334,"avg",0.183232676065094,0.139912362809623,0.155710501569306,0.0157981387596832,0.15648,3.71755,2,22,"Disconnected"
"3900b673",0.213364823966667,0.1956762325,0.1696881385,0.169897089833333,0.203150381866667,0.98233,-0.369117197194331,"avg",-0.365936521764363,0.217202797396666,0.20680461949311,-0.0103981779035558,0.15816,-4.40731,12,101,"Opposite Connection"
"39b9b3b1",0.2164881711,0.18639121475,0.17502319315,0.191271171,0.22808625,0.99947,0.201345095905561,"avg",-0.0641110403371241,0.216602970674457,0.228207199815902,0.0116042291414449,0.17026,0.36091,109,64,"Disconnected"
"3b28f32c",0.201947,0.199466,0.19859,0.199992,0.200005,1,-0.431216709171824,"avg",-0.241095204725028,0.201947,0.200005,-0.001942,0.1615,0.45347,80,55,"Disconnected"
"3bdbc3c0",-0.117170622222222,-0.0116592,-0.00420862222222222,-0.0152522888888889,-0.1390426,0.892888888888889,-0.115025946652295,"avg",-0.2256079986781,-0.131226431060229,-0.155722175211548,-0.0244957441513191,0.1631,-0.62471,87,76,"Disconnected"
"3cd1929f",0.043,0.215,0.335,0.224,0.043,0.86,0.0112146594153422,"avg",0.0112146594153422,0.05,0.05,0,0.17286,1.26055,118,38,"Disconnected"
"3d227c13",0.2,0.2,0.2,0.2,0.2,1,NA,"avg",NA,0.2,0.2,0,0.16,1.25843,51,39,"NA"
"41c16cc4",-0.107625,-0.111375,-0.022,0.063625,0.067375,1,0.94846556309202,"avg",0.948026350243765,-0.107625,0.067375,0.175,0.16682,-5.70833,103,110,"Well Connected"
"47dc617b",0.0433700115,0.052285721,0.0538757363,0.0569326788,0.1607568524,0.982237,0.77147446657359,"avg",0.55712593084639,0.0441543247709056,0.163664016321926,0.119509691551021,0.17491,-18.17402,120,152,"Connected"
"47dd8149",0.1339147295,0.08531384995,0.09542581015,0.092574798,0.1304558124,0.999995,0.00237594248543709,"avg",0.117451288883202,0.133915399076995,0.130456464682323,-0.00345893439467196,0.15927,-7.05807,22,117,"Disconnected"
"48cf320f",-0.7,0,0,0,0.3,1,0.854357657716761,"avg",0.854357657716761,-0.7,0.3,1,0.31633,6.60688,160,16,"Well Connected"
"4b556c23",0.0173881923333333,0.00596386433333333,0.00579290533333333,0.006835061,0.000549976999999999,0.999583333333333,-0.842526345029971,"avg",-0.355970718497573,0.017395440433514,0.000550206252605251,-0.0168452341809087,0.15764,-4.83789,9,104,"Opposite Connection"
"4cb8b66c",0.117590455555556,0.106502233333333,0.101792466666667,0.107059111111111,0.105881288888889,0.997776666666667,-0.615740059052609,"avg",-0.256091638096594,0.117852480904767,0.106117222847687,-0.0117352580570802,0.16119,-5.29357,78,106,"Opposite Connection"
"5004c81c",-0.09,-0.06,0.0075,0.2225,0.42,1,0.950799584278305,"avg",0.948933832991439,-0.09,0.42,0.51,0.16445,2.25653,96,29,"Well Connected"
"515b11f9",0.176930039816667,0.153393528816667,0.142125010816667,0.1569279306,0.20316598995,0.999654166666667,0.368436649715547,"avg",0.0744130834377981,0.17699124929038,0.203236275828724,0.0262450265383445,0.16019,-4.42029,68,102,"Disconnected"
"538b0bb5",0,0,0,0,0,1,NA,"avg",NA,0,0,0,0.1848,-2.36294,130,88,"NA"
"59405297",-0.087045835,-0.020808765,0.039740255,0.098032025,0.35293232,0.99995,0.93363487560155,"avg",0.900034210039722,-0.0870501875093755,0.352949967498375,0.44000015500775,0.22475,2.23133,146,30,"Well Connected"
"5c0347cc",0.161359986,0.204468794,0.270365284,0.20333184,0.160464096,0.99999,-0.0103298231089978,"avg",-0.0103298231089978,0.161361599615996,0.160465700657007,-0.000895898958989588,0.1598,-3.12058,33,93,"Disconnected"
"5c7bb709",0.21254005171,0.19832370977,0.198605569,0.18757746481,0.20041620471,0.997463,-0.623291255241749,"avg",-0.181784231303849,0.213080637286797,0.20092595385493,-0.0121546834318667,0.15902,-8.79757,17,126,"Disconnected"
"5f3cc21b",-0.07046270855,-0.003773458075,0.0185482959083333,0.0403621313833333,0.0722707393333333,0.999861666666667,0.9708105150586,"avg",0.73489434403591,-0.0704724572399182,0.07228073816878,0.142753195408698,0.16078,-21.48702,73,156,"Connected"
